noise,method,mean_regret,std_regret
Gaussian,NQ-FQI,0.2279741542908034,0.185871515536319
Gaussian,mean-FQI,0.2769121871987415,0.1810075028470635
Laplace,NQ-FQI,0.2814129129782762,0.2084614550875711
Laplace,mean-FQI,0.338544347371664,0.2514100583704421
contaminated normal,NQ-FQI,0.2937196859795373,0.2212546255791559
contaminated normal,mean-FQI,0.3683893279127384,0.3555279089948647
log-normal,NQ-FQI,0.3900278820891432,0.3425704132503847
log-normal,mean-FQI,0.5136145439203375,0.3313233742487335
Student-t (nu=3),NQ-FQI,0.2306245245730037,0.1763254645639668
Student-t (nu=3),mean-FQI,0.3047558935111075,0.2581313717131366
Student-t (nu=2),NQ-FQI,0.2987751224136752,0.208061509157647
Student-t (nu=2),mean-FQI,0.6796358577611595,0.4958281152012171
Student-t (nu=1.5),NQ-FQI,0.3603531851481693,0.2635568958611693
Student-t (nu=1.5),mean-FQI,2.578834376783465,1.6469961708538008
Pareto (alpha=1.5),NQ-FQI,0.6111566061974724,0.4283701874235901
Pareto (alpha=1.5),mean-FQI,3.834535833681711,1.4996207473498049
