noise,scheme,mean_regret,std_regret
Gaussian,uniform,0.2279741542908034,0.185871515536319
Gaussian,trimmed-10%,0.2158486145250513,0.1806362822794813
Gaussian,trimmed-20%,0.2352291838611115,0.1907777101979867
Gaussian,tau(1-tau),0.2352291838611115,0.1907777101979867
Laplace,uniform,0.2814129129782762,0.2084614550875711
Laplace,trimmed-10%,0.2806441296737283,0.2064543965376924
Laplace,trimmed-20%,0.2789478904918666,0.2032402994233073
Laplace,tau(1-tau),0.2528214183198367,0.2080769302209934
contaminated normal,uniform,0.2937196859795373,0.2212546255791559
contaminated normal,trimmed-10%,0.261533223201934,0.2127502323782968
contaminated normal,trimmed-20%,0.284302064840595,0.2307621734832348
contaminated normal,tau(1-tau),0.2693157002828414,0.215117513320877
log-normal,uniform,0.3900278820891432,0.3425704132503847
log-normal,trimmed-10%,0.3801704600545892,0.3340074655719581
log-normal,trimmed-20%,0.3848242824968651,0.2693058810962853
log-normal,tau(1-tau),0.3554066263717855,0.2772735938254773
Student-t (nu=3),uniform,0.2306245245730037,0.1763254645639668
Student-t (nu=3),trimmed-10%,0.2233191920118037,0.1740854996278742
Student-t (nu=3),trimmed-20%,0.2606045536854126,0.1852387436758818
Student-t (nu=3),tau(1-tau),0.2382519324432694,0.1679933412567923
Student-t (nu=2),uniform,0.2987751224136752,0.208061509157647
Student-t (nu=2),trimmed-10%,0.3204777648631473,0.2039436575080336
Student-t (nu=2),trimmed-20%,0.3189026079254786,0.2132663225815132
Student-t (nu=2),tau(1-tau),0.317627626721512,0.2060010266739031
Student-t (nu=1.5),uniform,0.3603531851481693,0.2635568958611693
Student-t (nu=1.5),trimmed-10%,0.386547649472857,0.2974791741118329
Student-t (nu=1.5),trimmed-20%,0.338895254278744,0.2684405305330415
Student-t (nu=1.5),tau(1-tau),0.3396611859998882,0.2545094062671722
Pareto (alpha=1.5),uniform,0.6111566061974724,0.4283701874235901
Pareto (alpha=1.5),trimmed-10%,0.7496185284216847,0.6028984606245859
Pareto (alpha=1.5),trimmed-20%,0.5751038119817184,0.4228400224449017
Pareto (alpha=1.5),tau(1-tau),0.5726265583469319,0.4460129547712087
